player_id,season,week,passing_yards
00-0035289,2019,1,275.0
00-0033119,2019,1,190.0
00-0027973,2019,1,418.0
00-0035228,2019,1,308.0
00-0034796,2019,1,324.0
00-0034857,2019,1,254.0
00-0033873,2019,1,378.0
00-0023459,2019,1,203.0
00-0029263,2019,1,195.0
00-0022924,2019,1,276.0
00-0033537,2019,2,159.0
00-0027973,2019,2,311.0
00-0026498,2019,2,245.0
00-0022803,2019,2,250.0
00-0029263,2019,2,300.0
00-0034343,2019,2,97.0
00-0033869,2019,2,120.0
00-0033119,2019,2,146.0
00-0034857,2019,2,253.0
00-0019596,2019,2,264.0
00-0033873,2019,2,443.0
00-0034796,2019,2,272.0
00-0035289,2019,2,213.0
00-0026158,2019,2,292.0
00-0023682,2019,2,89.0
00-0031345,2019,2,296.0
00-0023459,2019,2,209.0
00-0031503,2019,2,208.0
00-0034855,2019,2,325.0
00-0026143,2019,2,320.0
00-0032268,2019,2,154.0
00-0035228,2019,2,349.0
00-0034855,2019,3,195.0
00-0033869,2019,3,231.0
00-0026498,2019,3,201.0
00-0027973,2019,3,250.0
00-0032950,2019,3,259.0
00-0034771,2019,3,174.0
00-0035710,2019,3,336.0
00-0034857,2019,3,243.0
00-0034796,2019,3,267.0
00-0028986,2019,3,332.0
00-0031345,2019,3,277.0
00-0029263,2019,3,406.0
00-0033873,2019,3,374.0
00-0026158,2019,3,213.0
00-0031237,2019,3,177.0
00-0035228,2019,3,173.0
00-0032268,2019,3,304.0
00-0034343,2019,3,200.0
00-0023459,2019,3,235.0
00-0033106,2019,3,268.0
00-0022942,2019,3,318.0
00-0034412,2019,3,98.0
00-0035289,2019,3,204.0
00-0033119,2019,3,310.0
00-0034855,2019,4,342.0
00-0026498,2019,4,291.0
00-0033077,2019,4,223.0
00-0034577,2019,4,232.0
00-0032268,2019,4,227.0
00-0027973,2019,4,171.0
00-0034796,2019,4,247.0
00-0033119,2019,4,265.0
00-0023459,2019,4,422.0
00-0035710,2019,4,225.0
00-0033873,2019,4,315.0
00-0026143,2019,4,397.0
00-0035228,2019,4,241.0
00-0033537,2019,4,160.0
00-0022942,2019,4,310.0
00-0032950,2019,4,160.0
00-0029604,2019,4,233.0
00-0035289,2019,4,213.0
00-0034857,2019,4,153.0
00-0029263,2019,4,240.0
00-0026158,2019,4,303.0
00-0031237,2019,5,314.0
00-0026158,2019,5,182.0
00-0019596,2019,5,348.0
00-0026544,2019,5,231.0
00-0034412,2019,5,120.0
00-0032268,2019,5,183.0
00-0035710,2019,5,182.0
00-0029263,2019,5,268.0
00-0033119,2019,5,151.0
00-0033537,2019,5,426.0
00-0035289,2019,5,374.0
00-0027973,2019,5,262.0
00-0033077,2019,5,463.0
00-0034857,2019,5,219.0
00-0033873,2019,5,321.0
00-0029604,2019,5,306.0
00-0034796,2019,5,161.0
00-0034855,2019,5,100.0
00-0026143,2019,5,330.0
00-0033106,2019,5,395.0
00-0031345,2019,5,181.0
00-0034771,2019,5,131.0
00-0031503,2019,5,204.0
00-0031503,2019,6,400.0
00-0033106,2019,6,78.0
00-0033873,2019,6,273.0
00-0032268,2019,6,63.0
00-0022942,2019,6,320.0
00-0028986,2019,6,166.0
00-0034855,2019,6,249.0
00-0035289,2019,6,163.0
00-0019596,2019,6,334.0
00-0026158,2019,6,177.0
00-0029604,2019,6,333.0
00-0031237,2019,6,240.0
00-0023682,2019,6,132.0
00-0035710,2019,6,161.0
00-0035577,2019,6,132.0
00-0029701,2019,6,144.0
00-0032950,2019,6,306.0
00-0029263,2019,6,295.0
00-0033537,2019,6,280.0
00-0035228,2019,6,340.0
00-0033077,2019,7,239.0
00-0029701,2019,7,312.0
