player_id,season,week,position,fantasy_ppr
00-0035687,2019,9,ILB,0.0
00-0033935,2024,15,DE,0.0
00-0033941,2024,15,SAF,0.0
00-0033303,2025,16,K,0.0
00-0033947,2024,15,DE,0.0
00-0033943,2024,15,WR,0.0
00-0033930,2024,15,CB,0.0
00-0033929,2024,15,DT,0.0
00-0033290,2025,16,G,0.0
00-0033281,2025,16,CB,0.0
00-0033347,2025,16,DT,0.0
00-0033357,2025,16,TE,15.32
00-0035662,2019,9,WR,7.800000000000001
00-0035672,2019,9,LB,0.0
00-0035681,2019,9,SAF,0.0
00-0035676,2019,9,WR,12.1
00-0035689,2019,9,TE,3.4000000000000004
00-0033854,2022,5,RB,0.0
00-0032726,2022,5,K,0.0
00-0032395,2022,5,C,0.0
00-0034348,2022,5,WR,12.4
00-0033538,2022,5,OT,0.0
00-0033576,2022,5,TE,8.6
00-0031253,2022,5,DB,0.0
00-0035703,2019,9,WR,0.0
00-0035698,2019,9,OT,0.0
00-0033857,2025,16,WR,2.2
00-0033576,2025,16,TE,2.0
00-0033854,2025,16,RB,0.9
00-0033381,2025,16,DT,0.0
00-0033523,2025,16,DE,0.0
00-0033555,2025,16,WR,13.9
00-0033860,2025,16,DT,0.0
00-0033787,2025,16,K,0.0
00-0033455,2025,16,TE,8.0
00-0033858,2025,16,TE,2.8000000000000003
00-0033393,2025,16,CB,0.0
00-0035705,2019,9,SAF,0.0
00-0035719,2019,9,WR,8.0
00-0035717,2019,9,DE,0.0
00-0035678,2022,5,DE,0.0
00-0033297,2022,5,DT,0.0
00-0035862,2022,5,DB,0.0
00-0035804,2022,5,LB,0.0
00-0035754,2022,5,DE,0.0
00-0025944,2019,10,K,0.0
00-0033907,2025,16,DE,0.0
00-0033923,2025,16,RB,0.2
00-0033877,2025,16,FS,0.0
00-0033870,2025,16,DE,0.0
00-0033878,2025,16,CB,0.0
00-0033914,2025,16,MLB,0.0
00-0033883,2025,16,FS,0.0
00-0033921,2025,16,WR,8.0
00-0033875,2025,16,OLB,0.0
00-0024061,2019,10,CB,0.0
00-0025580,2019,10,K,0.0
00-0025472,2019,10,DT,0.0
00-0024270,2019,10,OT,0.0
00-0025424,2019,10,FS,0.0
00-0023682,2019,10,QB,13.06
00-0035821,2022,5,P,0.0
00-0034084,2025,16,K,0.0
00-0035757,2022,5,LS,0.0
